,Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
214,4-5-2022 12:16:05,Artificial Intelligence,no,0,mu,nee,female,neither,1997-12-12,0,unknown,50,2,88,00:00:00,Sunny weather,Feeling in tune with yourself and your surroundings
215,4-5-2022 12:16:05,Computer Science,no,0,mu,nee,male,slim,1999-08-13,1,no,50,1,13,01:30:00,warm weather,not having to get up early
216,4-5-2022 12:16:05,Artificial Intelligence,no,0,mu,nee,male,fat,1997-04-16,0,no,15,5,5,01:00:00,no work,good food
217,4-5-2022 12:16:06,Other,no,0,mu,nee,female,neither,1997-11-07,4,no,29,50,29,00:00:00,Coffee,My bed
218,4-5-2022 12:16:06,Other,no,0,mu,ja,male,I have no idea what you are talking about,1991-01-01,8,no,80,20,8,23:00:00,Sun,Food
219,4-5-2022 12:16:06,Artificial Intelligence,no,0,mu,ja,female,neither,1999-06-18,0,no,72,100/624=0.16,361,23:00:00,Some love from friends/fam/bf,good food
220,4-5-2022 12:16:06,Business Analytics,yes,0,mu,nee,male,I have no idea what you are talking about,1998-02-05,0,no,70,1,5,00:00:00,good weather,eating
221,4-5-2022 12:16:06,Other,yes,0,mu,ja,male,neither,1999-03-09,2,no,69,"4,2",4729264827364547292736464629,02:00:00,Andrea,DMT
224,4-5-2022 12:16:06,Business Analytics,yes,1,mu,ja,female,neither,1998-10-01,0,no,40,20,2,00:37:00,sun,meeting friends
225,4-5-2022 12:16:06,Business Analytics,yes,0,mu,nee,female,fat,2022-05-20,0,no,45,30,12,00:00:00,sport,call my mother
226,4-5-2022 12:16:08,Artificial Intelligence,no,0,mu,ja,male,fat,2000-07-18,1,no,5,30,4,23:45:00,Not rain ,Food
227,4-5-2022 12:16:08,Artificial Intelligence,yes,1,mu,ja,male,fat,1994-05-01,0,no,10,125,13,23:30:00,Sun,Feeling good
228,4-5-2022 12:16:08,Artificial Intelligence,no,unknown,mu,ja,male,I have no idea what you are talking about,1993-07-15,0,no,33,33,sqrt(687458.9665),00:00:00,sleeping long,smoke weed
229,4-5-2022 12:16:09,Other,yes,0,unknown,nee,male,fat,1999-04-13,0,no,30,0.20,11,00:30:00,Good weather,Going to the gym
230,4-5-2022 12:16:09,Other,yes,0,mu,ja,male,fat,2022-04-24,0,yes,50,10,122,02:00:00,Sunshine,Good food
231,4-5-2022 12:16:09,Computational Science,no,0,mu,ja,male,neither,2022-07-14,0,no,10,2,37,23:30:00,nice weather,free money
232,4-5-2022 12:16:09,Artificial Intelligence,yes,1,mu,nee,male,I have no idea what you are talking about,1998-06-05,0,no,70,50,7,00:00:00,good weather,good food
233,4-5-2022 12:16:09,Other,yes,0,unknown,nee,male,fat,1995-01-20,4,no,30,"0,2",5,23:00:00,Doing nothing important,Talking with friends
235,4-5-2022 12:16:10,Artificial Intelligence,yes,1,mu,ja,female,neither,2000-01-01,0,no,81,13,4,03:00:00,No lectures,Sunny weather
236,4-5-2022 12:16:10,Computer Science,yes,0,sigma,ja,male,unknown,2022-11-04,0,unknown,10,0,"6,96788E+14",17:00:00,sunlight,No wind
237,4-5-2022 12:16:10,Artificial Intelligence,yes,0,mu,ja,female,slim,1996-08-21,0,yes,-100,0.1,∞,02:00:00,Coffee,Sleep
238,4-5-2022 12:16:11,Other,yes,1,mu,ja,male,neither,2022-12-10,0,no,0,5,10,22:22:00,Sun,Fun
239,4-5-2022 12:16:11,Other,yes,0,sigma,nee,male,fat,1995-08-01,2,yes,19,100,27,00:00:00,sun,sport
240,4-5-2022 12:16:11,Business Analytics,yes,0,mu,nee,male,neither,1997-12-08,5,no,50,0.25€,8,01:00:00,Good food,Nice whether 
241,4-5-2022 12:16:11,Artificial Intelligence,yes,1,mu,ja,male,fat,1999-06-14,1,no,10,0.16,6,00:15:00,Sunny weather,Exercise
242,4-5-2022 12:16:11,Artificial Intelligence,yes,1,sigma,ja,male,neither,1992-12-18,0,no,100,1000000,69,00:00:00,thuisbezorgd,gaming
243,4-5-2022 12:16:11,Other,no,0,mu,unknown,male,slim,1997-11-14,2,no,80,30,333,01:00:00,Lots of food,Going out in a sunny day
244,4-5-2022 12:16:11,Computer Science,yes,1,mu,ja,male,fat,1998-04-23,2,no,80,Definately,10,22:00:00,Win lottery,Win lottery again
247,4-5-2022 12:16:14,Other,no,0,mu,nee,male,I have no idea what you are talking about,2022-06-07,8,no,69,100 euros divided over 600 students. 0.6 euros,6665437996,23:56:00,Cake,Cookies
248,4-5-2022 12:16:15,Other,no,0,mu,nee,male,slim,2022-04-11,Im in the web,yes,80,5 euro to buy previously mentioned chocolate,6,01:00:00,Workout, progress in the course
250,4-5-2022 12:16:18,Artificial Intelligence,yes,0,mu,nee,male,neither,1989-02-09,4,no,80,70,9,09:00:00,food,sleep
251,4-5-2022 12:16:19,Other,yes,1,mu,ja,male,neither,1998-08-16,0,no,25,0.25 cents,42,00:15:00,Being productive,Listening/making music
253,4-5-2022 12:16:19,Other,no,0,mu,ja,male,neither,2022-12-20,1,yes,12,110,10,01:30:00,Beer,Sleep
254,4-5-2022 12:16:19,Artificial Intelligence,yes,0,mu,nee,male,fat,2022-05-31,2,no,30,1 euro,5,01:00:00,Nice dinner,Netflix
256,4-5-2022 12:16:20,Other,yes,0,mu,ja,female,neither,1999-08-03,1,no,25,5,8,23:30:00,Friends,Drinks
257,4-5-2022 12:16:20,Artificial Intelligence,yes,0,mu,ja,female,slim,2022-07-02,2,yes,30,8,32,03:00:00,Winkel apple pie,Friends
258,4-5-2022 12:16:20,Computer Science,no,1,mu,ja,male,neither,2022-10-27,3,no,75,40,6,00:00:00,Wake up late,breakfast
259,4-5-2022 12:16:22,Other,no,1,mu,nee,female,I have no idea what you are talking about,1996-04-24,6,unknown,70,yo,56,00:00:00,smiles,more smiles
260,4-5-2022 12:16:22,Artificial Intelligence,no,0,mu,nee,female,I have no idea what you are talking about,1998-05-29,8,unknown,30,50,8,00:00:00,Smile,Laugh
261,4-5-2022 12:16:23,Artificial Intelligence,no,0,mu,nee,female,fat,1996-02-17,12,no,99,50,9,00:00:00,Having coffee,breakfast
262,4-5-2022 12:16:24,Computational Science,no,0,mu,nee,female,neither,2222-02-22,3,unknown,30,50,7,00:30:00,Cat,Food
263,4-5-2022 12:16:26,Other,yes,0,mu,nee,female,neither,1998-02-25,1,yes,15,85,42,02:00:00,Sunshine,Good food
264,4-5-2022 12:16:27,Computational Science,no,0,mu,ja,female,neither,1996-06-02,0,no,70,75,53,23:00:00,insightful things,not thinking about tomorrow 
265,4-5-2022 12:16:28,Artificial Intelligence,no,0,mu,ja,male,neither,1998-06-15,0,no,66,5,487,03:00:00,A good sleep,Staying with my best friends
266,4-5-2022 12:16:29,Other,no,0,mu,ja,male,neither,1999-08-18,5,no,10,2.5,8,01:30:00,Friends,Drinks
267,4-5-2022 12:16:29,Artificial Intelligence,yes,0,mu,nee,female,fat,2001-05-12,0,unknown,87,i don't understand,42,01:45:00,breakfast,going outside
268,4-5-2022 12:16:29,Other,no,0,mu,ja,male,I have no idea what you are talking about,1997-11-10,1,no,50,100,11,00:00:00,Time with family and friends ,Good news 
269,4-5-2022 12:16:35,Other,no,1,mu,ja,male,I have no idea what you are talking about,2022-05-16,0,no,45.8,100,47895734,00:00:00,Food,Food
270,4-5-2022 12:16:35,Artificial Intelligence,no,0,mu,ja,female,neither,2022-11-29,5,no,10,15,2,23:00:00,Sunny,Meet friends
271,4-5-2022 12:16:35,Artificial Intelligence,no,0,mu,nee,male,neither,1982-02-14,2,no,70,75,666,23:50:00,"Good sleep, good sport",Good study
272,4-5-2022 12:16:39,Artificial Intelligence,no,0,sigma,nee,not willing to answer,I have no idea what you are talking about,2000-02-03,0,no,100,I don't understand the question,893,00:15:00,do my thing and gym,lover's kiss
273,4-5-2022 12:16:49,Other,no,0,sigma,nee,female,I have no idea what you are talking about,1997-06-11,2,no,70,100,11,00:00:00,A warm sunny day with no stress,I answered it already
274,4-5-2022 12:16:50,Other,yes,0,mu,nee,not willing to answer,fat,2032-12-16,8,no,101,99,99,00:00:00,good,no school
275,4-5-2022 12:16:50,Other,unknown,1,mu,ja,male,I have no idea what you are talking about,2000-03-03,1,yes,50,50,7,00:30:00,sunshine,drinks
276,4-5-2022 12:16:52,Business Analytics,yes,1,sigma,ja,male,slim,2022-07-16,0,no,0,100,30,00:30:00,Enough time for relaxing,Being productive
277,4-5-2022 12:16:54,Other,no,0,mu,nee,male,I have no idea what you are talking about,2001-04-29,Quattro,no,Fifty,Sixty at least,548293748291457322680525896237,23:00:00,A nice calming Data Mining lecture,A cool glass of water
278,4-5-2022 12:16:57,Computational Science,no,0,mu,nee,male,neither,2022-01-19,0,no,2,50,235236236,12:44:00,food,sleep
279,4-5-2022 12:16:59,Computational Science,no,0,mu,nee,not willing to answer,slim,2003-02-01,2,unknown,50,0.4€,222.223,00:00:00,Lemons,Lemonade
280,4-5-2022 12:17:03,Other,no,0,mu,nee,male,neither,1996-01-11,0,yes,50,100,8,13:30:00,Good sleep,Something to achieve in the day
281,4-5-2022 12:17:10,Computational Science,no,0,mu,nee,male,fat,2022-02-07,1,no,65,100/n (n=number of Data-Mining students),50,01:00:00,having fun,a nice meal
282,4-5-2022 12:17:11,Business Analytics,yes,0,mu,nee,male,neither,1990-10-16,2,no,10,0,7,00:30:00,Silence,Warm weather
283,4-5-2022 12:17:19,Artificial Intelligence,yes,0,mu,nee,male,neither,2022-09-06,0,no,30,20,73,00:00:00,Clear skies,Chill music
284,4-5-2022 12:18:02,Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,1998-04-29,0,no,0,98,626,02:00:00,Ether in the green,Coffee
285,4-5-2022 12:18:28,Computer Science,no,0,mu,ja,male,fat,2022-03-28,1,no,38,30,42,00:00:00,Come up with a good question,Find a solution to the good question
286,4-5-2022 12:19:12,Computer Science,yes,0,sigma,ja,male,neither,1999-04-09,1,no,50,100,69420,02:00:00,A good gym session,Good food
287,4-5-2022 12:19:23,Other,yes,1,mu,ja,female,fat,1998-02-16,0,no,1,10,37,00:00:00,Good weather,Bad weather
288,4-5-2022 12:19:33,Computational Science,no,0,mu,ja,male,neither,1998-05-23,4,no,80,101,29,02:00:00,have enough sleep,make progress in anything
289,4-5-2022 12:19:43,Artificial Intelligence,unknown,0,mu,ja,female,fat,1995-09-20,zero,no,private matters,"I will pretend to be a communist, 100/600",9,06:00:00,"happiness comes from within, but mental stimulation is always appreciated","be healthy, having a growth mindset, mental stimulation (dopamine), exercise (endorphins), hugs (oxytocin), sunlight (serotine)"
291,4-5-2022 12:20:49,Other,no,0,sigma,nee,male,slim,1998-07-29,1,unknown,10,100,6969,11:30:00,Sex,Sex
292,4-5-2022 12:20:58,Other,yes,0,mu,nee,male,fat,1997-01-04,0,no,60,1000,56,00:00:00,Sunny weather,No obligations
294,4-5-2022 12:21:16,Computer Science,yes,unknown,sigma,ja,male,fat,1996-08-22,1,no,60,More than the even share,420,01:00:00,Coffee in the morning,Hanging out with friends
296,4-5-2022 12:28:09,Other,no,0,mu,nee,male,fat,2022-03-11,0,no,62,100,"-34,67",01:30:00,Getting work done ,Doing sports (climbing)
297,4-5-2022 12:33:59,Other,yes,0,unknown,nee,male,neither,2022-06-16,0,no,40,0,9,01:00:00,Highly productive ,Time with friends 
298,4-5-2022 12:34:30,Artificial Intelligence,no,0,mu,ja,female,neither,2022-04-13,0,no,50,100,75,00:00:00,Sunshine,Nice food
299,4-5-2022 12:35:31,Artificial Intelligence,yes,1,unknown,nee,not willing to answer,fat,1956-01-01,2,no,30,99,6,00:00:00,Yes,No
300,4-5-2022 12:37:05,Other,yes,1,mu,ja,male,slim,2022-04-09,9,yes,9,5,0,00:00:00,9,9
301,4-5-2022 12:41:59,Other,no,0,mu,nee,male,I have no idea what you are talking about,1995-07-17,0,no,666,1,123,00:00:00,Good food,Sleep more than 6 hours 
303,4-5-2022 13:27:19,Business Analytics,yes,1,mu,ja,male,neither,1998-05-12,0,no,66,0,789458455584851844184,04:00:00,-,-
